username,Past Action,Time,Review,lowercase,no_urls,no_html,no_emojis,slang_replaced,contractions_replaced,no_punctuation,no_numbers,spelling_corrected,no_stopwords,lemmatized,tokenized,processed_review
Lezza Ramly,8 reviews · 3 photos,8 months ago,"Came on Tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","came on tuesday at 6.45pm, did not queue and ordered at the counter, parking was in front of the shop. …",came on tuesday at 645pm did not queue and ordered at the counter parking was in front of the shop …,came on tuesday at pm did not queue and ordered at the counter parking was in front of the shop …,came on tuesday at pm did not queue and ordered at the counter parking was in front of the shop …,came tuesday pm queue ordered counter parking front shop …,come tuesday pm queue order counter park front shop …,"['come', 'tuesday', 'pm', 'queue', 'order', 'counter', 'park', 'front', 'shop', '…']","['come', 'tuesday', 'pm', 'queue', 'order', 'counter', 'park', 'front', 'shop', '…']"
Nur Auni Baharum,Local Guide · 20 reviews · 22 photos,4 months ago,"Too sweet for my taste buds
A bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard, like over baked","too sweet for my taste buds
a bit dry and hard like over baked","too sweet for my taste buds
a bit dry and hard like over baked","too sweet for my taste buds
a bit dry and hard like over baked",sweet taste buds bit dry hard like baked,sweet taste bud bite dry hard like bake,"['sweet', 'taste', 'bud', 'bite', 'dry', 'hard', 'like', 'bake']","['sweet', 'taste', 'bud', 'bite', 'dry', 'hard', 'like', 'bake']"
Farhani Nor,Local Guide · 19 reviews · 31 photos,4 years ago,"His food.. The price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). For dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it's ok and delicious. …","his food.. the price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). for dessert, it is ok and delicious. …",his food the price is expensive the portion is small  small the taste is normal a bit salty  the food is cold for dessert it is ok and delicious …,his food the price is expensive the portion is small  small the taste is normal a bit salty  the food is cold for dessert it is ok and delicious …,his food the price is expensive the portion is small  small the taste is normal a bit salty  the food is cold for dessert it is ok and delicious …,food price expensive portion small small taste normal bit salty food cold dessert ok delicious …,food price expensive portion small small taste normal bit salty food cold dessert ok delicious …,"['food', 'price', 'expensive', 'portion', 'small', 'small', 'taste', 'normal', 'bit', 'salty', 'food', 'cold', 'dessert', 'ok', 'delicious', '…']","['food', 'price', 'expensive', 'portion', 'small', 'small', 'taste', 'normal', 'bit', 'salty', 'food', 'cold', 'dessert', 'ok', 'delicious', '…']"
nurul,1 review,7 months ago,"This is the second time to walk in. I prefer the first time because I don't want to queue for a long time outside. This time there was a bit of a long queue, I arrived on Wednesday at 11.30am, then I was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i don't want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i don't want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i don't want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i don't want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i don't want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …","this is the second time to walk in. i prefer the first time because i do not want to queue for a long time outside. this time there was a bit of a long queue, i arrived on wednesday at 11.30am, then i was able to get in at around 12, almost …",this is the second time to walk in i prefer the first time because i do not want to queue for a long time outside this time there was a bit of a long queue i arrived on wednesday at 1130am then i was able to get in at around 12 almost …,this is the second time to walk in i prefer the first time because i do not want to queue for a long time outside this time there was a bit of a long queue i arrived on wednesday at am then i was able to get in at around  almost …,this is the second time to walk in i prefer the first time because i do not want to queue for a long time outside this time there was a bit of a long queue i arrived on wednesday at am then i was able to get in at around  almost …,second time walk prefer first time want queue long time outside time bit long queue arrived wednesday able get around almost …,second time walk prefer first time want queue long time outside time bit long queue arrive wednesday able get around almost …,"['second', 'time', 'walk', 'prefer', 'first', 'time', 'want', 'queue', 'long', 'time', 'outside', 'time', 'bit', 'long', 'queue', 'arrive', 'wednesday', 'able', 'get', 'around', 'almost', '…']","['second', 'time', 'walk', 'prefer', 'first', 'time', 'want', 'queue', 'long', 'time', 'outside', 'time', 'bit', 'long', 'queue', 'arrive', 'wednesday', 'able', 'get', 'around', 'almost', '…']"
Yamma 16,1 review · 4 photos,9 months ago,"Before this, I was diligent about coming for dessert because it was always full house but there was no need to queue. After eating, you can go round again to see another dessert there. But now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …","before this, i was diligent about coming for dessert because it was always full house but there was no need to queue. after eating, you can go round again to see another dessert there. but now come before 10am to buy 1 dessert, you have to …",before this i was diligent about coming for dessert because it was always full house but there was no need to queue after eating you can go round again to see another dessert there but now come before 10am to buy 1 dessert you have to …,before this i was diligent about coming for dessert because it was always full house but there was no need to queue after eating you can go round again to see another dessert there but now come before am to buy  dessert you have to …,before this i was diligent about coming for dessert because it was always full house but there was no need to queue after eating you can go round again to see another dessert there but now come before am to buy  dessert you have to …,diligent coming dessert always full house need queue eating go round see another dessert come buy dessert …,diligent come dessert always full house need queue eat go round see another dessert come buy dessert …,"['diligent', 'come', 'dessert', 'always', 'full', 'house', 'need', 'queue', 'eat', 'go', 'round', 'see', 'another', 'dessert', 'come', 'buy', 'dessert', '…']","['diligent', 'come', 'dessert', 'always', 'full', 'house', 'need', 'queue', 'eat', 'go', 'round', 'see', 'another', 'dessert', 'come', 'buy', 'dessert', '…']"
nur fatini,Local Guide · 9 reviews · 4 photos,a year ago,"Desserts are all okay and delicious. But the staff is not customer friendly. Not friendly. I want to stare. Except that the new cashier is a little cold. Come from far away, treated like we can't afford to buy anyway. Hahahaha pape thanks owners, all the desserts are really delicious👍 …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we can't afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious👍 …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we can't afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious👍 …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we can't afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious👍 …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we can't afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we can't afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious …","desserts are all okay and delicious. but the staff is not customer friendly. not friendly. i want to stare. except that the new cashier is a little cold. come from far away, treated like we cannot afford to buy anyway. hahahaha pape thanks owners, all the desserts are really delicious …",desserts are all okay and delicious but the staff is not customer friendly not friendly i want to stare except that the new cashier is a little cold come from far away treated like we cannot afford to buy anyway hahahaha pape thanks owners all the desserts are really delicious …,desserts are all okay and delicious but the staff is not customer friendly not friendly i want to stare except that the new cashier is a little cold come from far away treated like we cannot afford to buy anyway hahahaha pape thanks owners all the desserts are really delicious …,desserts are all okay and delicious but the staff is not customer friendly not friendly i want to stare except that the new cashier is a little cold come from far away treated like we cannot afford to buy anyway hahahaha page thanks owners all the desserts are really delicious …,desserts okay delicious staff customer friendly friendly want stare except new cashier little cold come far away treated like cannot afford buy anyway hahahaha page thanks owners desserts really delicious …,dessert okay delicious staff customer friendly friendly want stare except new cashier little cold come far away treat like can not afford buy anyway hahahaha page thanks owner dessert really delicious …,"['dessert', 'okay', 'delicious', 'staff', 'customer', 'friendly', 'friendly', 'want', 'stare', 'except', 'new', 'cashier', 'little', 'cold', 'come', 'far', 'away', 'treat', 'like', 'can', 'not', 'afford', 'buy', 'anyway', 'hahahaha', 'page', 'thanks', 'owner', 'dessert', 'really', 'delicious', '…']","['dessert', 'okay', 'delicious', 'staff', 'customer', 'friendly', 'friendly', 'want', 'stare', 'except', 'new', 'cashier', 'little', 'cold', 'come', 'far', 'away', 'treat', 'like', 'can', 'not', 'afford', 'buy', 'anyway', 'hahahaha', 'page', 'thanks', 'owner', 'dessert', 'really', 'delicious', '…']"
Siti Khairunnisa,"Local Guide · 297 reviews · 2,912 photos",a year ago,The atmosphere is relaxed and cozy. It is a chocolate paradise for dessert lovers. The price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy. it is a chocolate paradise for dessert lovers. the price is affordable too.,the atmosphere is relaxed and cozy it is a chocolate paradise for dessert lovers the price is affordable too,the atmosphere is relaxed and cozy it is a chocolate paradise for dessert lovers the price is affordable too,the atmosphere is relaxed and copy it is a chocolate paradise for dessert lovers the price is affordable too,atmosphere relaxed copy chocolate paradise dessert lovers price affordable,atmosphere relax copy chocolate paradise dessert lover price affordable,"['atmosphere', 'relax', 'copy', 'chocolate', 'paradise', 'dessert', 'lover', 'price', 'affordable']","['atmosphere', 'relax', 'copy', 'chocolate', 'paradise', 'dessert', 'lover', 'price', 'affordable']"
Mohd Ariff,Local Guide · 107 reviews · 57 photos,a month ago,"Manihhh... I don't like eating these sweets. But if other people like it, that's fine. To each their own taste, to each their own money. The cost of medicine is also their own 😄 …","manihhh... i don't like eating these sweets. but if other people like it, that's fine. to each their own taste, to each their own money. the cost of medicine is also their own 😄 …","manihhh... i don't like eating these sweets. but if other people like it, that's fine. to each their own taste, to each their own money. the cost of medicine is also their own 😄 …","manihhh... i don't like eating these sweets. but if other people like it, that's fine. to each their own taste, to each their own money. the cost of medicine is also their own 😄 …","manihhh... i don't like eating these sweets. but if other people like it, that's fine. to each their own taste, to each their own money. the cost of medicine is also their own  …","manihhh... i don't like eating these sweets. but if other people like it, that's fine. to each their own taste, to each their own money. the cost of medicine is also their own  …","manihhh... i do not like eating these sweets. but if other people like it, that is fine. to each their own taste, to each their own money. the cost of medicine is also their own  …",manihhh i do not like eating these sweets but if other people like it that is fine to each their own taste to each their own money the cost of medicine is also their own  …,manihhh i do not like eating these sweets but if other people like it that is fine to each their own taste to each their own money the cost of medicine is also their own  …,manihhh i do not like eating these sweets but if other people like it that is fine to each their own taste to each their own money the cost of medicine is also their own  …,manihhh like eating sweets people like fine taste money cost medicine also …,manihhh like eat sweet people like fine taste money cost medicine also …,"['manihhh', 'like', 'eat', 'sweet', 'people', 'like', 'fine', 'taste', 'money', 'cost', 'medicine', 'also', '…']","['manihhh', 'like', 'eat', 'sweet', 'people', 'like', 'fine', 'taste', 'money', 'cost', 'medicine', 'also', '…']"
Akram Ifwat,Local Guide · 189 reviews · 498 photos,4 months ago,"Come Sunday.
Lots of queues but quite fast
For the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday.
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop, it is a …","come sunday
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop it is a …","come sunday
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop it is a …","come sunday
lots of queues but quite fast
for the first time coming and never knowing the existence of this shop it is a …",come sunday lots queues quite fast first time coming never knowing existence shop …,come sunday lot queue quite fast first time come never know existence shop …,"['come', 'sunday', 'lot', 'queue', 'quite', 'fast', 'first', 'time', 'come', 'never', 'know', 'existence', 'shop', '…']","['come', 'sunday', 'lot', 'queue', 'quite', 'fast', 'first', 'time', 'come', 'never', 'know', 'existence', 'shop', '…']"
Syaza Asnyat,Local Guide · 64 reviews · 220 photos,3 years ago,"Brownies are all delicious. The sweetness is enough. Not too sweet. Many options are available. The seating area is also comfortable. Only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.","brownies are all delicious. the sweetness is enough. not too sweet. many options are available. the seating area is also comfortable. only, the bingsu presentation was not as expected.",brownies are all delicious the sweetness is enough not too sweet many options are available the seating area is also comfortable only the bingsu presentation was not as expected,brownies are all delicious the sweetness is enough not too sweet many options are available the seating area is also comfortable only the bingsu presentation was not as expected,brownish are all delicious the sweetness is enough not too sweet many options are available the seating area is also comfortable only the brings presentation was not as expected,brownish delicious sweetness enough sweet many options available seating area also comfortable brings presentation expected,brownish delicious sweetness enough sweet many option available seat area also comfortable brings presentation expect,"['brownish', 'delicious', 'sweetness', 'enough', 'sweet', 'many', 'option', 'available', 'seat', 'area', 'also', 'comfortable', 'brings', 'presentation', 'expect']","['brownish', 'delicious', 'sweetness', 'enough', 'sweet', 'many', 'option', 'available', 'seat', 'area', 'also', 'comfortable', 'brings', 'presentation', 'expect']"
Faris Danial,25 reviews · 37 photos,4 years ago,"I don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. If you like to eat sweets and want to go to this …","i don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …","i don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …","i don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …","i don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …","i don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …","i do not know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. if you like to eat sweets and want to go to this …",i do not know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet which means it is suitable for the elderly if you like to eat sweets and want to go to this …,i do not know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet which means it is suitable for the elderly if you like to eat sweets and want to go to this …,i do not know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet which means it is suitable for the elderly if you like to eat sweets and want to go to this …,know much hype shop unless interior beautiful food average dessert sweet means suitable elderly like eat sweets want go …,know much hype shop unless interior beautiful food average dessert sweet mean suitable elderly like eat sweet want go …,"['know', 'much', 'hype', 'shop', 'unless', 'interior', 'beautiful', 'food', 'average', 'dessert', 'sweet', 'mean', 'suitable', 'elderly', 'like', 'eat', 'sweet', 'want', 'go', '…']","['know', 'much', 'hype', 'shop', 'unless', 'interior', 'beautiful', 'food', 'average', 'dessert', 'sweet', 'mean', 'suitable', 'elderly', 'like', 'eat', 'sweet', 'want', 'go', '…']"
haikal daniel,1 review,4 months ago,"When whatsapp asks if there are cookies. He replied that there is. When I went, I had to wait over an hour because he said he was just going to bake it. We are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there","when whatsapp asks if there are cookies. he replied that there is. when i went, i had to wait over an hour because he said he was just going to bake it. we are not close to going there",when whatsapp asks if there are cookies he replied that there is when i went i had to wait over an hour because he said he was just going to bake it we are not close to going there,when whatsapp asks if there are cookies he replied that there is when i went i had to wait over an hour because he said he was just going to bake it we are not close to going there,when whatsapp asks if there are cookies he replied that there is when i went i had to wait over an hour because he said he was just going to bake it we are not close to going there,whatsapp asks cookies replied went wait hour said going bake close going,whatsapp ask cooky reply go wait hour say go bake close go,"['whatsapp', 'ask', 'cooky', 'reply', 'go', 'wait', 'hour', 'say', 'go', 'bake', 'close', 'go']","['whatsapp', 'ask', 'cooky', 'reply', 'go', 'wait', 'hour', 'say', 'go', 'bake', 'close', 'go']"
Farina,12 reviews · 5 photos,4 months ago,"Pistachio Cheese Cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","pistachio cheese cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …",pistachio cheese cup  better frozen it tastes like ice cream and the sweetness will be a little okay as per what my friend said …,pistachio cheese cup  better frozen it tastes like ice cream and the sweetness will be a little okay as per what my friend said …,pistachio cheese cup  better frozen it tastes like ice cream and the sweetness will be a little okay as per what my friend said …,pistachio cheese cup better frozen tastes like ice cream sweetness little okay per friend said …,pistachio cheese cup well frozen taste like ice cream sweetness little okay per friend say …,"['pistachio', 'cheese', 'cup', 'well', 'frozen', 'taste', 'like', 'ice', 'cream', 'sweetness', 'little', 'okay', 'per', 'friend', 'say', '…']","['pistachio', 'cheese', 'cup', 'well', 'frozen', 'taste', 'like', 'ice', 'cream', 'sweetness', 'little', 'okay', 'per', 'friend', 'say', '…']"
Hafiz Imran,Local Guide · 19 reviews · 12 photos,a year ago,"Don't buy anything other than dessert. Other things like chicken grill, ramen, rice for me are not worth it. A bit pricey. Even the desserts all taste the same chocolate. If you eat dessert while closing your eyes, you must not know which …","don't buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …","don't buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …","don't buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …","don't buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …","don't buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …","do not buy anything other than dessert. other things like chicken grill, ramen, rice for me are not worth it. a bit pricey. even the desserts all taste the same chocolate. if you eat dessert while closing your eyes, you must not know which …",do not buy anything other than dessert other things like chicken grill ramen rice for me are not worth it a bit pricey even the desserts all taste the same chocolate if you eat dessert while closing your eyes you must not know which …,do not buy anything other than dessert other things like chicken grill ramen rice for me are not worth it a bit pricey even the desserts all taste the same chocolate if you eat dessert while closing your eyes you must not know which …,do not buy anything other than dessert other things like chicken grill raven rice for me are not worth it a bit price even the desserts all taste the same chocolate if you eat dessert while closing your eyes you must not know which …,buy anything dessert things like chicken grill raven rice worth bit price even desserts taste chocolate eat dessert closing eyes must know …,buy anything dessert thing like chicken grill raven rice worth bit price even desserts taste chocolate eat dessert close eye must know …,"['buy', 'anything', 'dessert', 'thing', 'like', 'chicken', 'grill', 'raven', 'rice', 'worth', 'bit', 'price', 'even', 'desserts', 'taste', 'chocolate', 'eat', 'dessert', 'close', 'eye', 'must', 'know', '…']","['buy', 'anything', 'dessert', 'thing', 'like', 'chicken', 'grill', 'raven', 'rice', 'worth', 'bit', 'price', 'even', 'desserts', 'taste', 'chocolate', 'eat', 'dessert', 'close', 'eye', 'must', 'know', '…']"
Khaisy 22 (sYuk),Local Guide · 8 reviews · 14 photos,a year ago,"He doesn't just sell desserts. The main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he doesn't just sell desserts. the main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he doesn't just sell desserts. the main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he doesn't just sell desserts. the main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he doesn't just sell desserts. the main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he doesn't just sell desserts. the main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","he does not just sell desserts. the main course is also there.. it is delicious, it is just the parking lot.. so if you want to come choose the right time.. if it is a little late there must be a lot of people.. the dessert is really …",he does not just sell desserts the main course is also there it is delicious it is just the parking lot so if you want to come choose the right time if it is a little late there must be a lot of people the dessert is really …,he does not just sell desserts the main course is also there it is delicious it is just the parking lot so if you want to come choose the right time if it is a little late there must be a lot of people the dessert is really …,he does not just sell desserts the main course is also there it is delicious it is just the parking lot so if you want to come choose the right time if it is a little late there must be a lot of people the dessert is really …,sell desserts main course also delicious parking lot want come choose right time little late must lot people dessert really …,sell dessert main course also delicious park lot want come choose right time little late must lot people dessert really …,"['sell', 'dessert', 'main', 'course', 'also', 'delicious', 'park', 'lot', 'want', 'come', 'choose', 'right', 'time', 'little', 'late', 'must', 'lot', 'people', 'dessert', 'really', '…']","['sell', 'dessert', 'main', 'course', 'also', 'delicious', 'park', 'lot', 'want', 'come', 'choose', 'right', 'time', 'little', 'late', 'must', 'lot', 'people', 'dessert', 'really', '…']"
muhamad izzuddin johari,11 reviews · 5 photos,a year ago,"Ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. When 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & THERE WASN'T ANY WATER... there weren't many people who dined in but it was late 😕😕 …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & there wasn't any water... there weren't many people who dined in but it was late 😕😕 …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & there wasn't any water... there weren't many people who dined in but it was late 😕😕 …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & there wasn't any water... there weren't many people who dined in but it was late 😕😕 …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & there wasn't any water... there weren't many people who dined in but it was late  …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & there wasn't any water... there weren't many people who dined in but it was late  …","ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. when 4 people arrived, one person's food did not arrive even though the others had finished eating.. & there was not any water... there were not many people who dined in but it was late  …",ordered pasta very slow and not tasty hard pasta not boiled long enough when 4 people arrived one persons food did not arrive even though the others had finished eating  there was not any water there were not many people who dined in but it was late  …,ordered pasta very slow and not tasty hard pasta not boiled long enough when  people arrived one persons food did not arrive even though the others had finished eating  there was not any water there were not many people who dined in but it was late  …,ordered pasta very slow and not tasty hard pasta not boiled long enough when  people arrived one persons food did not arrive even though the others had finished eating  there was not any water there were not many people who died in but it was late  …,ordered pasta slow tasty hard pasta boiled long enough people arrived one persons food arrive even though others finished eating water many people died late …,order pasta slow tasty hard pasta boil long enough people arrive one person food arrive even though others finish eat water many people die late …,"['order', 'pasta', 'slow', 'tasty', 'hard', 'pasta', 'boil', 'long', 'enough', 'people', 'arrive', 'one', 'person', 'food', 'arrive', 'even', 'though', 'others', 'finish', 'eat', 'water', 'many', 'people', 'die', 'late', '…']","['order', 'pasta', 'slow', 'tasty', 'hard', 'pasta', 'boil', 'long', 'enough', 'people', 'arrive', 'one', 'person', 'food', 'arrive', 'even', 'though', 'others', 'finish', 'eat', 'water', 'many', 'people', 'die', 'late', '…']"
